heads,d_model,d_k,parameters,epochs,train_loss,validation_loss,test_loss,bleu
1,128,128,6995034,2,6.378917074118795,5.978219375014305,5.98074696958065,0.6564222611414963
2,128,64,6995034,2,6.369241367224902,5.973386883735657,5.9718212485313416,0.5250469378289476
4,128,32,6995034,2,6.361776157975409,5.96195225417614,5.958037033677101,0.6176416007959598
