warmup_steps,epochs,parameters,train_loss,validation_loss,test_loss,bleu
400,2,6995034,5.699498937142678,5.459707260131836,5.469815775752068,1.529094989848781
1000,2,6995034,5.844567769797615,5.5990040153265,5.598659440875053,1.45544275844086
4000,2,6995034,6.361776157975409,5.96195225417614,5.958037033677101,0.6176416007959598
