experiment,BLEU,Test Loss
Heads=1,0.6564222611414963,5.98074696958065
Heads=2,0.5250469378289476,5.9718212485313416
Heads=4,0.6176416007959598,5.958037033677101
Sinusoidal PE,0.6176416007959598,5.958037033677101
No PE,0.5877873935550408,5.963387280702591
Warmup=400,1.529094989848781,5.469815775752068
Warmup=1000,1.45544275844086,5.598659440875053
Warmup=4000,0.6176416007959598,5.958037033677101
